LDH Region,Parish,Cumulative Cases,DateTime,FID,x,y
5,Allen,34,"4/3/2020, 11:00 AM",1363,-10333543.42745984,3587782.93213322
5,Allen,66,"4/9/2020, 11:00 AM",1418,-10333543.42745984,3587782.93213322
5,Allen,67,"4/10/2020, 11:00 AM",1484,-10333543.42745984,3587782.93213322
5,Allen,73,"4/12/2020, 11:00 AM",1554,-10333543.42745984,3587782.93213322
5,Allen,74,"4/13/2020, 11:00 AM",1620,-10333543.42745984,3587782.93213322
5,Allen,15,"3/31/2020, 11:00 AM",1646,-10333543.42745984,3587782.93213322
5,Allen,19,"4/1/2020, 11:00 AM",1728,-10333543.42745984,3587782.93213322
5,Allen,26,"4/2/2020, 11:00 AM",1815,-10333543.42745984,3587782.93213322
5,Allen,71,"4/11/2020, 11:00 AM",1832,-10333543.42745984,3587782.93213322
5,Allen,39,"4/4/2020, 11:00 AM",1851,-10333543.42745984,3587782.93213322
5,Allen,65,"4/8/2020, 11:00 AM",1870,-10333543.42745984,3587782.93213322
5,Allen,79,"4/18/2020, 11:00 AM",2012,-10333543.42745984,3587782.93213322
5,Allen,79,"4/19/2020, 11:00 AM",2078,-10333543.42745984,3587782.93213322
5,Allen,79,"4/17/2020, 11:00 AM",2149,-10333543.42745984,3587782.93213322
5,Allen,81,"4/23/2020, 11:00 AM",2250,-10333543.42745984,3587782.93213322
5,Allen,87,"4/27/2020, 11:00 AM",2318,-10333543.42745984,3587782.93213322
5,Allen,90,"4/28/2020, 11:00 AM",2386,-10333543.42745984,3587782.93213322
5,Allen,74,"4/14/2020, 11:00 AM",2463,-10333543.42745984,3587782.93213322
5,Allen,82,"4/26/2020, 11:00 AM",2555,-10333543.42745984,3587782.93213322
5,Allen,79,"4/20/2020, 11:00 AM",2659,-10333543.42745984,3587782.93213322
5,Allen,81,"4/24/2020, 11:00 AM",2720,-10333543.42745984,3587782.93213322
5,Allen,82,"4/25/2020, 11:00 AM",2786,-10333543.42745984,3587782.93213322
5,Allen,74,"4/15/2020, 11:00 AM",2821,-10333543.42745984,3587782.93213322
5,Allen,78,"4/16/2020, 11:00 AM",2887,-10333543.42745984,3587782.93213322
5,Allen,79,"4/21/2020, 11:00 AM",2910,-10333543.42745984,3587782.93213322
5,Allen,80,"4/22/2020, 11:00 AM",2976,-10333543.42745984,3587782.93213322
5,Allen,90,"4/29/2020, 11:00 AM",3038,-10333543.42745984,3587782.93213322
5,Allen,90,"4/30/2020, 11:00 AM",3104,-10333543.42745984,3587782.93213322
5,Allen,90,"5/2/2020, 11:00 AM",3128,-10333543.42745984,3587782.93213322
5,Allen,90,"5/3/2020, 11:00 AM",3194,-10333543.42745984,3587782.93213322
5,Allen,90,"5/1/2020, 11:00 AM",3278,-10333543.42745984,3587782.93213322
5,Allen,90,"5/4/2020, 11:00 AM",3368,-10333543.42745984,3587782.93213322
2,Ascension,1,"3/17/2020, 11:00 AM",2,-10120199.62335453,3529750.239441165
2,Ascension,,"3/14/2020, 11:00 AM",4,-10120199.62335453,3529750.239441165
2,Ascension,1,"3/18/2020, 11:00 AM",114,-10120199.62335453,3529750.239441165
2,Ascension,90,"3/27/2020, 11:00 AM",229,-10120199.62335453,3529750.239441165
2,Ascension,,"3/15/2020, 11:00 AM",292,-10120199.62335453,3529750.239441165
2,Ascension,3,"3/21/2020, 11:00 AM",383,-10120199.62335453,3529750.239441165
2,Ascension,,"3/16/2020, 11:00 AM",486,-10120199.62335453,3529750.239441165
2,Ascension,65,"3/25/2020, 11:00 AM",576,-10120199.62335453,3529750.239441165
2,Ascension,91,"3/26/2020, 11:00 AM",643,-10120199.62335453,3529750.239441165
2,Ascension,17,"3/22/2020, 11:00 AM",684,-10120199.62335453,3529750.239441165
2,Ascension,26,"3/23/2020, 11:00 AM",751,-10120199.62335453,3529750.239441165
2,Ascension,107,"3/28/2020, 11:00 AM",780,-10120199.62335453,3529750.239441165
2,Ascension,139,"3/29/2020, 11:00 AM",846,-10120199.62335453,3529750.239441165
2,Ascension,2,"3/19/2020, 11:00 AM",869,-10120199.62335453,3529750.239441165
2,Ascension,2,"3/20/2020, 11:00 AM",935,-10120199.62335453,3529750.239441165
2,Ascension,36,"3/24/2020, 11:00 AM",963,-10120199.62335453,3529750.239441165
2,Ascension,153,"3/30/2020, 11:00 AM",1073,-10120199.62335453,3529750.239441165
2,Ascension,347,"4/6/2020, 11:00 AM",1146,-10120199.62335453,3529750.239441165
2,Ascension,358,"4/7/2020, 11:00 AM",1212,-10120199.62335453,3529750.239441165
2,Ascension,286,"4/5/2020, 11:00 AM",1308,-10120199.62335453,3529750.239441165
2,Ascension,222,"4/3/2020, 11:00 AM",1364,-10120199.62335453,3529750.239441165
2,Ascension,370,"4/9/2020, 11:00 AM",1419,-10120199.62335453,3529750.239441165
2,Ascension,397,"4/10/2020, 11:00 AM",1485,-10120199.62335453,3529750.239441165
2,Ascension,428,"4/12/2020, 11:00 AM",1555,-10120199.62335453,3529750.239441165
2,Ascension,432,"4/13/2020, 11:00 AM",1621,-10120199.62335453,3529750.239441165
2,Ascension,161,"3/31/2020, 11:00 AM",1647,-10120199.62335453,3529750.239441165
2,Ascension,189,"4/1/2020, 11:00 AM",1729,-10120199.62335453,3529750.239441165
2,Ascension,201,"4/2/2020, 11:00 AM",1819,-10120199.62335453,3529750.239441165
2,Ascension,415,"4/11/2020, 11:00 AM",1836,-10120199.62335453,3529750.239441165
2,Ascension,284,"4/4/2020, 11:00 AM",1852,-10120199.62335453,3529750.239441165
2,Ascension,366,"4/8/2020, 11:00 AM",1873,-10120199.62335453,3529750.239441165
2,Ascension,496,"4/18/2020, 11:00 AM",2013,-10120199.62335453,3529750.239441165
2,Ascension,508,"4/19/2020, 11:00 AM",2079,-10120199.62335453,3529750.239441165
2,Ascension,468,"4/17/2020, 11:00 AM",2150,-10120199.62335453,3529750.239441165
2,Ascension,536,"4/23/2020, 11:00 AM",2251,-10120199.62335453,3529750.239441165
2,Ascension,574,"4/27/2020, 11:00 AM",2319,-10120199.62335453,3529750.239441165
2,Ascension,576,"4/28/2020, 11:00 AM",2387,-10120199.62335453,3529750.239441165
2,Ascension,438,"4/14/2020, 11:00 AM",2464,-10120199.62335453,3529750.239441165
2,Ascension,568,"4/26/2020, 11:00 AM",2556,-10120199.62335453,3529750.239441165
2,Ascension,512,"4/20/2020, 11:00 AM",2660,-10120199.62335453,3529750.239441165
2,Ascension,551,"4/24/2020, 11:00 AM",2721,-10120199.62335453,3529750.239441165
2,Ascension,557,"4/25/2020, 11:00 AM",2787,-10120199.62335453,3529750.239441165
2,Ascension,440,"4/15/2020, 11:00 AM",2822,-10120199.62335453,3529750.239441165
2,Ascension,451,"4/16/2020, 11:00 AM",2888,-10120199.62335453,3529750.239441165
2,Ascension,515,"4/21/2020, 11:00 AM",2911,-10120199.62335453,3529750.239441165
2,Ascension,533,"4/22/2020, 11:00 AM",2977,-10120199.62335453,3529750.239441165
2,Ascension,587,"4/29/2020, 11:00 AM",3039,-10120199.62335453,3529750.239441165
2,Ascension,593,"4/30/2020, 11:00 AM",3105,-10120199.62335453,3529750.239441165
2,Ascension,636,"5/2/2020, 11:00 AM",3129,-10120199.62335453,3529750.239441165
2,Ascension,644,"5/3/2020, 11:00 AM",3195,-10120199.62335453,3529750.239441165
2,Ascension,627,"5/1/2020, 11:00 AM",3279,-10120199.62335453,3529750.239441165
2,Ascension,647,"5/4/2020, 11:00 AM",3369,-10120199.62335453,3529750.239441165
3,Assumption,,"3/14/2020, 11:00 AM",6,-10137042.262311555,3490821.6645793305
3,Assumption,,"3/17/2020, 11:00 AM",7,-10137042.262311555,3490821.6645793305
3,Assumption,,"3/18/2020, 11:00 AM",115,-10137042.262311555,3490821.6645793305
3,Assumption,8,"3/27/2020, 11:00 AM",230,-10137042.262311555,3490821.6645793305
3,Assumption,,"3/15/2020, 11:00 AM",294,-10137042.262311555,3490821.6645793305
3,Assumption,1,"3/21/2020, 11:00 AM",384,-10137042.262311555,3490821.6645793305
3,Assumption,,"3/16/2020, 11:00 AM",487,-10137042.262311555,3490821.6645793305
3,Assumption,2,"3/25/2020, 11:00 AM",577,-10137042.262311555,3490821.6645793305
3,Assumption,5,"3/26/2020, 11:00 AM",644,-10137042.262311555,3490821.6645793305
3,Assumption,1,"3/22/2020, 11:00 AM",685,-10137042.262311555,3490821.6645793305
