Parish,LDHH,Cumulative Cases,DateTime,FID,x,y
Ascension,2,440,"4/15/2020, 11:00 AM",2228,-10120199.62335453,3529750.239441165
Ascension,2,451,"4/16/2020, 11:00 AM",2318,-10120199.62335453,3529750.239441165
Ascension,2,508,"4/19/2020, 11:00 AM",2379,-10120199.62335453,3529750.239441165
Assumption,3,2,"3/25/2020, 11:00 AM",36,-10137042.262311555,3490821.6645793305
Assumption,3,5,"3/26/2020, 11:00 AM",103,-10137042.262311555,3490821.6645793305
Assumption,3,,"3/17/2020, 11:00 AM",110,-10137042.262311555,3490821.6645793305
Assumption,3,8,"3/27/2020, 11:00 AM",173,-10137042.262311555,3490821.6645793305
Assumption,3,,"3/19/2020, 11:00 AM",251,-10137042.262311555,3490821.6645793305
Assumption,3,1,"3/20/2020, 11:00 AM",317,-10137042.262311555,3490821.6645793305
Assumption,3,,"3/18/2020, 11:00 AM",422,-10137042.262311555,3490821.6645793305
Assumption,3,1,"3/21/2020, 11:00 AM",497,-10137042.262311555,3490821.6645793305
Assumption,3,,"3/14/2020, 11:00 AM",512,-10137042.262311555,3490821.6645793305
Assumption,3,,"3/15/2020, 11:00 AM",612,-10137042.262311555,3490821.6645793305
Assumption,3,2,"3/24/2020, 11:00 AM",697,-10137042.262311555,3490821.6645793305
Assumption,3,1,"3/22/2020, 11:00 AM",750,-10137042.262311555,3490821.6645793305
Assumption,3,1,"3/23/2020, 11:00 AM",819,-10137042.262311555,3490821.6645793305
Assumption,3,8,"3/28/2020, 11:00 AM",833,-10137042.262311555,3490821.6645793305
Assumption,3,14,"3/29/2020, 11:00 AM",921,-10137042.262311555,3490821.6645793305
Assumption,3,,"3/16/2020, 11:00 AM",936,-10137042.262311555,3490821.6645793305
Assumption,3,77,"4/6/2020, 11:00 AM",1024,-10137042.262311555,3490821.6645793305
Assumption,3,84,"4/7/2020, 11:00 AM",1092,-10137042.262311555,3490821.6645793305
Assumption,3,17,"3/30/2020, 11:00 AM",1168,-10137042.262311555,3490821.6645793305
Assumption,3,89,"4/8/2020, 11:00 AM",1266,-10137042.262311555,3490821.6645793305
Assumption,3,20,"3/31/2020, 11:00 AM",1342,-10137042.262311555,3490821.6645793305
Assumption,3,25,"4/1/2020, 11:00 AM",1408,-10137042.262311555,3490821.6645793305
Assumption,3,94,"4/9/2020, 11:00 AM",1438,-10137042.262311555,3490821.6645793305
Assumption,3,105,"4/10/2020, 11:00 AM",1504,-10137042.262311555,3490821.6645793305
Assumption,3,116,"4/12/2020, 11:00 AM",1537,-10137042.262311555,3490821.6645793305
Assumption,3,59,"4/5/2020, 11:00 AM",1614,-10137042.262311555,3490821.6645793305
Assumption,3,109,"4/11/2020, 11:00 AM",1703,-10137042.262311555,3490821.6645793305
Assumption,3,120,"4/13/2020, 11:00 AM",1805,-10137042.262311555,3490821.6645793305
Assumption,3,31,"4/2/2020, 11:00 AM",1870,-10137042.262311555,3490821.6645793305
Assumption,3,33,"4/3/2020, 11:00 AM",1924,-10137042.262311555,3490821.6645793305
Assumption,3,56,"4/4/2020, 11:00 AM",1990,-10137042.262311555,3490821.6645793305
Assumption,3,123,"4/14/2020, 11:00 AM",2050,-10137042.262311555,3490821.6645793305
Assumption,3,137,"4/17/2020, 11:00 AM",2138,-10137042.262311555,3490821.6645793305
Assumption,3,143,"4/18/2020, 11:00 AM",2204,-10137042.262311555,3490821.6645793305
Assumption,3,129,"4/15/2020, 11:00 AM",2229,-10137042.262311555,3490821.6645793305
Assumption,3,132,"4/16/2020, 11:00 AM",2319,-10137042.262311555,3490821.6645793305
Assumption,3,146,"4/19/2020, 11:00 AM",2380,-10137042.262311555,3490821.6645793305
Avoyelles,6,,"3/20/2020, 11:00 AM",6,-10241549.000268279,3642689.4146340676
Avoyelles,6,5,"3/25/2020, 11:00 AM",37,-10241549.000268279,3642689.4146340676
Avoyelles,6,7,"3/26/2020, 11:00 AM",104,-10241549.000268279,3642689.4146340676
Avoyelles,6,10,"3/27/2020, 11:00 AM",174,-10241549.000268279,3642689.4146340676
Avoyelles,6,,"3/17/2020, 11:00 AM",211,-10241549.000268279,3642689.4146340676
